school,sex,age,address,famsize,Pstatus,Medu,Fedu,Mjob,Fjob,reason,guardian,traveltime,studytime,failures,schoolsup,famsup,paid,activities,nursery,higher,internet,romantic,famrel,freetime,goout,Dalc,Walc,health,absences,G1,G2,G3
KV,F,18,City,GT3,A,4,4,Homemaker,Teacher,course,mother,2,2,0,yes,no,no,no,yes,yes,no,no,4,3,4,1,1,3,6,5,6,6
KV,F,17,City,GT3,T,1,1,Homemaker,Farmer,course,father,1,2,0,no,yes,no,no,no,yes,yes,no,5,3,3,1,1,3,4,5,5,6
KV,F,15,City,LE3,T,1,1,Homemaker,Farmer,other,mother,1,2,3,yes,no,yes,no,yes,yes,yes,no,4,3,2,2,3,3,10,7,8,10
KV,F,15,City,GT3,T,4,2,Doctor,Government Service,home,mother,1,3,0,no,yes,yes,yes,yes,yes,yes,yes,3,2,2,1,1,5,2,15,14,15
KV,F,16,City,GT3,T,3,3,Farmer,Farmer,home,father,1,2,0,no,yes,yes,no,yes,yes,no,no,4,3,2,1,2,5,4,6,10,10
KV,M,16,City,LE3,T,4,3,Government Service,Farmer,reputation,mother,1,2,0,no,yes,yes,yes,yes,yes,yes,no,5,4,2,1,2,5,10,15,15,15
KV,M,16,City,LE3,T,2,2,Farmer,Farmer,home,mother,1,2,0,no,no,no,no,yes,yes,yes,no,4,4,4,1,1,3,0,12,12,11
KV,F,17,City,GT3,A,4,4,Farmer,Teacher,home,mother,2,2,0,yes,yes,no,no,yes,yes,no,no,4,1,4,1,1,1,6,6,5,6
KV,M,15,City,LE3,A,3,2,Government Service,Farmer,home,mother,1,2,0,no,yes,yes,no,yes,yes,yes,no,4,2,2,1,1,1,0,16,18,19
KV,M,15,City,GT3,T,3,4,Farmer,Farmer,home,mother,1,2,0,no,yes,yes,yes,yes,yes,yes,no,5,5,1,1,1,5,0,14,15,15
KV,F,15,City,GT3,T,4,4,Teacher,Doctor,reputation,mother,1,2,0,no,yes,yes,no,yes,yes,yes,no,3,3,3,1,2,2,0,10,8,9
KV,F,15,City,GT3,T,2,1,Government Service,Farmer,reputation,father,3,3,0,no,yes,no,yes,yes,yes,yes,no,5,2,2,1,1,4,4,10,12,12
